"ap 05:00"|five|"‘Pomona is very catholic in her tastes,’ said Mrs Spottsworth. ‘She usually dines at five, but she is not at all fussy.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
"ap 01:45"|"Fifteen to two"|"‘I fear not, Sir Roderick. It would seem to be an exceptionally open contest. Monsieur Boussac’s Voleur is, I understand, the favourite. Fifteen to two at last night’s call-over and the price likely to shorten to sixes or even fives for the SP. But the animal in question is somewhat small and lightly boned for so gruelling an ordeal. Though we have, to be sure, seen such a handicap overcome. The name of Manna, the 1925 winner, springs to the mind, and Hyperion, another smallish horse, broke the course record previously held by Flying Fox, accomplishing the distance in two minutes, thirty-four seconds.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
"ap 09:00"|"nine o’clock"|"To Bill Rowcester at nine o’clock on the night of this disturbing day such an attitude of mind would have seemed incomprehensible. The last thing in the world that he desired was Captain Biggar’s soothing masculine conversation. As he stood holding the dining room door open while Mrs Spottsworth, Monica and Jill passed through on their way to the living room, he was weighed down by a sense of bereavement and depression, mingled with uneasy speculations as to what was going to happen now. His emotions, in fact, were similar in kind and intensity to those which a garrison beleaguered by savages would have experienced, had the United States Marines, having arrived, turned right round and walked off in the opposite direction."|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
"ap 00:27"|"thirty-three to one"|"‘And what happened? Lucy Glitters rolled in at a hundred to six, and Whistler’s Mother, as you may have heard, at thirty-three to one.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
"< 12:00"|"before noon"|"‘But I must have the money, and I must have it before noon tomorrow.’ His voice rose in what in a lesser man would have been a wail. ‘Listen. I’ll have to let you in on something that’s vitally secret, and if you breathe a word to a soul I’ll rip you both asunder with my bare hands, shred you up into small pieces and jump on the remains with hobnailed boots. Is that understood?’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
02:00|"two in the morning"|"‘You haven’t come here at two in the morning to suggest that I dance the Charleston with her again?’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
00:00|midnight|"‘Precisely, m’lord. Your lordship has sustained a severe shock. Happening to be in the vicinity of the ruined chapel at about the hour of midnight, your lordship observed the wraith of Lady Agatha and was much overcome. How your lordship contrived to totter back to your room, your lordship will never know, but I found your lordship there in what appeared to be a coma and immediately applied to Mrs Spottsworth for the loan of her smelling salts.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
02:00|"two o’clock in the morning"|"‘She arrived at the abbey yesterday. The story that has been put out is that Monica Carmoyle met her in New York and invited her to stay, but I have no doubt that the whole thing was arranged between her and Lord Rowcester, because it was obvious how matters stood between them. No sooner had she appeared than he was all over her … making love to her in the garden, dancing with her like a cat on hot bricks, and,’ said Jill nonchalantly, wearing the mask like the Mrs Fish who had so diverted Captain Biggar by doing the can-can in her step-ins in Kenya, ‘coming out of her room at two o’clock in the morning in mauve pyjamas.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
12:00|midday|"LUNCH AT ROWCESTER Abbey had been a much more agreeable function than lunch at Wyvern Hall, on a different plane altogether. Where Colonel Wyvern had been compelled to cope with the distressing efforts of a pigtailed incompetent apparently under the impression that she was catering for a covey of buzzards in the Gobi Desert, the revellers at the abbey had been ministered to by an expert. Earlier in this chronicle passing reference was made to the virtuosity of Bill’s OC Kitchen, the richly gifted Mrs Piggott, and in dishing up the midday meal today she had in no way fallen short of her high ideals. Three of the four celebrants at the table had found the food melting in their mouths and had downed it with cries of appreciation."|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
02:00|"two o’clock this morning"|"‘You may say it’s because I told him about what happened last night. Or this morning, to be absolutely accurate. At two o’clock this morning. He’ll understand.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
02:00|"two o’clock this morning"|"‘At two o’clock this morning, miss? That would have been at about the hour when I was escorting Mrs Spottsworth to the ruined chapel. The lady had expressed a wish to establish contact with the apparition of Lady Agatha. The wife of Sir Caradoc the Crusader, miss, who did well, I believe, at the Battle of Joppa. She is reputed to haunt the ruined chapel.’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
02:00|"two o’clock this morning"|"‘Jeeves, this is a matter of life and death,’ she said. ‘At two o’clock this morning I saw Lord Rowcester coming out of Mrs Spottsworth’s room looking perfectly frightful in mauve pyjamas. Are you telling me that Mrs Spottsworth was not there?’"|"The Jeeves Omnibus - Vol 3"|"P. G. Wodehouse"
