"ap 03:14"|"three hours, fourteen minutes"|"Undaunted, Le Gentil continued on to India to await the next transit in 1769. With eight years to prepare, he erected a first-rate viewing station, tested and retested his instruments, and had everything in a state of perfect readiness. On the morning of the second transit, June 4, 1769, he awoke to a fine day, but, just as Venus began its pass, a cloud slid in front of the Sun and remained there for almost exactly the duration of the transit: three hours, fourteen minutes, and seven seconds."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
12:00|midday|"Although there was no reliable way of dating periods, there was no shortage of people willing to try. The most well known early attempt was in 1650 when Archbishop James Ussher of the Church of Ireland made a careful study of the Bible and other historical sources and concluded, in a hefty tome called Annals of the Old Testament, that the Earth had been created at midday on October 23, 4004 B.C., an assertion that has amused historians and textbook writers ever since.*"|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
02:00|"two in the early morning"|"Three years after embarking on this lucrative career path, he married the fourteen-year-old daughter of one of his bosses. The marriage was a meeting of hearts and minds both. Madame Lavoisier had an incisive intellect and soon was working productively alongside her husband. Despite the demands of his job and busy social life, they managed to put in five hours of science on most days—two in the early morning and three in the evening—as well as the whole of Sunday, which they called their jour de bonheur (day of happiness). Somehow Lavoisier also found the time to be commissioner of gunpowder, supervise the building of a wall around Paris to deter smugglers, help found the metric system, and coauthor the handbook Méthode de Nomenclature Chimique, which became the bible for agreeing on the names of the elements."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
15:00|"three in the evening"|"Three years after embarking on this lucrative career path, he married the fourteen-year-old daughter of one of his bosses. The marriage was a meeting of hearts and minds both. Madame Lavoisier had an incisive intellect and soon was working productively alongside her husband. Despite the demands of his job and busy social life, they managed to put in five hours of science on most days—two in the early morning and three in the evening—as well as the whole of Sunday, which they called their jour de bonheur (day of happiness). Somehow Lavoisier also found the time to be commissioner of gunpowder, supervise the building of a wall around Paris to deter smugglers, help found the metric system, and coauthor the handbook Méthode de Nomenclature Chimique, which became the bible for agreeing on the names of the elements."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
"ap 01:00"|one|"It was while puzzling over this problem that Bohr was struck by a solution and dashed off his famous paper. Called “On the Constitutions of Atoms and Molecules,” the paper explained how electrons could keep from falling into the nucleus by suggesting that they could occupy only certain well-defined orbits. According to the new theory, an electron moving between orbits would disappear from one and reappear instantaneously in another without visiting the space between. This idea—the famous “quantum leap”—is of course utterly strange, but it was too good not to be true. It not only kept electrons from spiraling catastrophically into the nucleus; it also explained hydrogen's bewildering wavelengths. The electrons only appeared in certain orbits because they only existed in certain orbits. It was a dazzling insight, and it won Bohr the 1922 Nobel Prize in physics, the year after Einstein received his."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
13:45|"1:45 p.m."|"“Well, they were very charming, very persuasive,” Asaro recalled in an interview in 2002. “And it seemed an interesting challenge, so I agreed to try. Unfortunately, I had a lot of other work on, so it was eight months before I could get to it.” He consulted his notes from the period. “On June 21, 1978, at 1:45 p.m., we put a sample in the detector. It ran for 224 minutes and we could see we were getting interesting results, so we stopped it and had a look.”"|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
"< 10:00"|"Just before ten in the morning"|"For pure, focused, devastation, however, probably the most intense earthquake in recorded history was one that struck—and essentially shook to pieces—Lisbon, Portugal, on All Saints Day (November 1), 1755. Just before ten in the morning, the city was hit by a sudden sideways lurch now estimated at magnitude 9.0 and shaken ferociously for seven full minutes. The convulsive force was so great that the water rushed out of the city's harbor and returned in a wave fifty feet high, adding to the destruction. When at last the motion ceased, survivors enjoyed just three minutes of calm before a second shock came, only slightly less severe than the first. A third and final shock followed two hours later. At the end of it all, sixty thousand people were dead and virtually every building for miles reduced to rubble. The San Francisco earthquake of 1906, for comparison, measured an estimated 7.8 on the Richter scale and lasted less than thirty seconds."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
"< 12:00"|"just before noon"|"Tokyo has already suffered one of the most devastating earthquakes in modern times. On September 1, 1923, just before noon, the city was hit by what is known as the Great Kanto quake—an event more than ten times more powerful than Kobe's earthquake. Two hundred thousand people were killed. Since that time, Tokyo has been eerily quiet, so the strain beneath the surface has been building for eighty years. Eventually it is bound to snap. In 1923, Tokyo had a population of about three million. Today it is approaching thirty million. Nobody cares to guess how many people might die, but the potential economic cost has been put as high as $7 trillion."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
"> 00:00"|"just after midnight"|"Even more unnerving, because they are less well understood and capable of occurring anywhere at any time, are the rarer type of shakings known as intraplate quakes. These happen away from plate boundaries, which makes them wholly unpredictable. And because they come from a much greater depth, they tend to propagate over much wider areas. The most notorious such quakes ever to hit the United States were a series of three in New Madrid, Missouri, in the winter of 1811–12. The adventure started just after midnight on December 16 when people were awakened first by the noise of panicking farm animals (the restiveness of animals before quakes is not an old wives' tale, but is in fact well established, though not at all understood) and then by an almighty rupturing noise from deep within the Earth. Emerging from their houses, locals found the land rolling in waves up to three feet high and opening up in fissures several feet deep. A strong smell of sulfur filled the air. The shaking lasted for four minutes with the usual devastating effects to property. Among the witnesses was the artist John James Audubon, who happened to be in the area. The quake radiated outward with such force that it knocked down chimneys in Cincinnati four hundred miles away and, according to at least one account, “wrecked boats in East Coast harbors and . . . even collapsed scaffolding erected around the Capitol Building in Washington, D.C.” On January 23 and February 4 further quakes of similar magnitude followed. New Madrid has been silent ever since—but not surprisingly, since such episodes have never been known to happen in the same place twice. As far as we know, they are as random as lightning. The next one could be under Chicago or Paris or Kinshasa. No one can even begin to guess. And what causes these massive intraplate rupturings? Something deep within the Earth. More than that we don't know."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
08:32|"8:32 A.M."|"We all know what happened next. At 8:32 A.M. on a Sunday morning, May 18, the north side of the volcano collapsed, sending an enormous avalanche of dirt and rock rushing down the mountain slope at 150 miles an hour. It was the biggest landslide in human history and carried enough material to bury the whole of Manhattan to a depth of four hundred feet. A minute later, its flank severely weakened, St. Helens exploded with the force of five hundred Hiroshima-sized atomic bombs, shooting out a murderous hot cloud at up to 650 miles an hour—much too fast, clearly, for anyone nearby to outrace. Many people who were thought to be in safe areas, often far out of sight of the volcano, were overtaken. Fifty-seven people were killed. Twenty-three of the bodies were never found. The toll would have been much higher except that it was a Sunday. Had it been a weekday many lumber workers would have been working within the death zone. As it was, people were killed eighteen miles away."|"A Really Short History of Nearly Everything (Young Adult)"|"Bill Bryson"
