"ap 01:00"|1|"From The Thirteen Problems
1 The Tuesday Night Club
2 The Idol House of Astarte"|"Miss Marple"|"Agatha Christie"
"~ 00:00"|"about midnight"|"“Suspicion naturally fell on the husband. He benefited by his wife’s death. Not to the extent of the hundreds of thousands romantically imagined by the hotel chambermaid, but to the very solid amount of £8000. He had no money of his own apart from what he earned, and he was a man of somewhat extravagant habits with a partiality for the society of women. We investigated as delicately as possible the rumour of his attachment to the doctor’s daughter; but while it seemed clear that there had been a strong friendship between them at one time, there had been a most abrupt break two months previously, and they did not appear to have seen each other since. The doctor himself, an elderly man of a straightforward and unsuspicious type, was dumbfounded at the result of the autopsy. He had been called in about midnight to find all three people suffering. He had realized immediately the serious condition of Mrs. Jones, and had sent back to his dispensary for some opium pills, to allay the pain. In spite of all his efforts, however, she succumbed, but not for a moment did he suspect that anything was amiss. He was convinced that her death was due to a form of botulism. Supper that night had consisted of tinned lobster and salad, trifle and bread and cheese. Unfortunately none of the lobster remained—it had all been eaten and the tin thrown away. He had interrogated the young maid, Gladys Linch. She was terribly upset, very tearful and agitated, and he found it hard to get her to keep to the point, but she declared again and again that the tin had not been distended in any way and that the lobster had appeared to her in a perfectly good condition."|"Miss Marple"|"Agatha Christie"
"~ 07:00"|"about seven o’clock in the morning"|"“It was not until about seven o’clock in the morning that anyone thought about Elliot Haydon, and then Symonds suddenly asked where he was. I explained what Elliot had done and Symonds’s grave face grew a shade graver. ‘I wish he hadn’t. It is—it is foolhardy,’ he said."|"Miss Marple"|"Agatha Christie"
"ap < 10:00"|"Towards ten o’clock"|"“And that evening my uneasiness increased. Outside the storm howled and roared. Towards ten o’clock the tempest calmed down. Newman looked out of the window."|"Miss Marple"|"Agatha Christie"
"ap 08:00"|"eight o’clock"|"“This I did. On the previous night I had slept little. Tonight I slept heavily. Yet my slumbers were not restful. I was still oppressed with an awful foreboding of evil. I had terrible dreams. I dreamt of dreadful abysses and vast chasms, amongst which I was wandering, knowing that a slip of the foot meant death. I waked to find the hands of my clock pointing to eight o’clock. My head was aching badly, and the terror of my night’s dreams was still upon me."|"Miss Marple"|"Agatha Christie"
"ap ~ 11:00"|"about eleven o’clock"|"“The weather having cleared, he had gone out for a stroll about eleven o’clock. His way had taken him some distance along the cliffs to a spot commonly known as Smugglers’ Cove, owing to the large number of caves to be found there. Here he had noticed some men landing something from a small boat, and had strolled down to see what was going on. Whatever the stuff was it seemed to be a great weight, and it was being carried into one of the farthermost caves."|"Miss Marple"|"Agatha Christie"
"ap 10:00"|"ten o’clock"|"“He declared that he was at home and in bed from ten o’clock onwards, but he could produce no witnesses in support of that statement.”"|"Miss Marple"|"Agatha Christie"
"ap ~ 08:00"|"about eight"|"“There was no violent ringing of a bell the next morning. Mrs. Pritchard usually woke about eight. When, at eight thirty, there was no sign from her, nurse rapped loudly on the door. Getting no reply, she fetched George, and insisted on the door being broken open. They did so with the help of a chisel."|"Miss Marple"|"Agatha Christie"
"ap 08:30"|"eight thirty"|"“There was no violent ringing of a bell the next morning. Mrs. Pritchard usually woke about eight. When, at eight thirty, there was no sign from her, nurse rapped loudly on the door. Getting no reply, she fetched George, and insisted on the door being broken open. They did so with the help of a chisel."|"Miss Marple"|"Agatha Christie"
"~ 11:00"|elevenses|"“Exactly. The four suspects. There is not much more to tell. Life went on peacefully at King’s Gnaton for five months and then the blow fell. Dr. Rosen fell down the stairs one morning and was found dead about half an hour later. At the time the accident must have taken place, Gertrud was in her kitchen with the door closed and heard nothing—so she says. Fräulein Greta was in the garden planting some bulbs—again, so she says. The gardener, Dobbs, was in the small potting shed having his elevenses—so he says; and the secretary was out for a walk, and once more there is only his own word for it. No one has an alibi—no one can corroborate anyone else’s story. But one thing is certain. No one from outside could have done it, for a stranger in the little village of King’s Gnaton would be noticed without fail. Both the back and the front doors were locked, each member of the household having their own key. So you see it narrows down to those four. And yet each one seems to be above suspicion. Greta, his own brother’s child. Gertrud, with forty years of faithful service. Dobbs, who has never been out of King’s Gnaton. And Charles Templeton, the secretary—”"|"Miss Marple"|"Agatha Christie"
"~ 11:00"|elevenses|"“Oh! no, Sir Henry,” said Miss Marple. “Not scot-free. Neither you nor I believe that. Remember what you said not long ago. No. Greta Rosen will not escape punishment. To begin with, she must be in with a very queer set of people—blackmailers and terrorists—associates who will do her no good, and will probably bring her to a miserable end. As you say, one mustn’t waste thoughts on the guilty—it’s the innocent who matter. Mr. Templeton, who I dare say will marry that German cousin, his tearing up her letter looks—well, it looks suspicious—using the word in quite a different sense from the one we’ve been using all the evening. A little as though he were afraid of the other girl noticing or asking to see it? Yes, I think there must have been some little romance there. And then there’s Dobbs—though, as you say, I dare say it won’t matter much to him. His elevenses are probably all he thinks about. And then there’s that poor old Gertrud—the one who reminded me of Annie Poultny. Poor Annie Poultny. Fifty years’ faithful service and suspected of making away with Miss Lamb’s will, though nothing could be proved. Almost broke the poor creature’s faithful heart; and then after she was dead it came to light in the secret drawer of the tea caddy where old Miss Lamb had put it herself for safety. But too late then for poor Annie."|"Miss Marple"|"Agatha Christie"
"ap 05:30"|"half past five"|"“You see? All my suspicions of that man came back a hundredfold. He was preparing the way—for what? Dr. Coles left before I could make up my mind whether to speak to him or not—though really if I had spoken I shouldn’t have known what to say. As I came out of my room, the man himself—Sanders—came down the stairs from the floor above. He was dressed to go out and he asked me again if he could do anything for me in the town. It was all I could do to be civil to the man! I went straight into the lounge and ordered tea. It was just on half past five, I remember."|"Miss Marple"|"Agatha Christie"
"ap 06:45"|"quarter to seven"|"“Now I’m very anxious to put clearly what happened next. I was still in the lounge at a quarter to seven when Mr. Sanders came in. There were two gentlemen with him and all three of them were inclined to be a little on the lively side. Mr. Sanders left his two friends and came right over to where I was sitting with Miss Trollope. He explained that he wanted our advice about a Christmas present he was giving his wife. It was an evening bag."|"Miss Marple"|"Agatha Christie"
"ap ~ 06:15"|"about a quarter past six"|"“And now, I expect, you would like to hear the actual facts themselves. Mrs. Sanders, as you know, spent the afternoon playing bridge with some friends, the Mortimers. She left them at about a quarter past six. From her friends’ house to the Hydro was about a quarter of an hour’s walk—less if one hurried. She must have come in then about six thirty. No one saw her come in, so she must have entered by the side door and hurried straight up to her room. There she changed (the fawn coat and skirt she wore to the bridge party were hanging up in the cupboard) and was evidently preparing to go out again, when the blow fell. Quite possibly, they say, she never even knew who struck her. The sandbag, I understand, is a very efficient weapon. That looks as though the attackers were concealed in the room, possibly in one of the big wardrobe cupboards—the one she didn’t open."|"Miss Marple"|"Agatha Christie"
"ap ~ 06:30"|"about six thirty"|"“And now, I expect, you would like to hear the actual facts themselves. Mrs. Sanders, as you know, spent the afternoon playing bridge with some friends, the Mortimers. She left them at about a quarter past six. From her friends’ house to the Hydro was about a quarter of an hour’s walk—less if one hurried. She must have come in then about six thirty. No one saw her come in, so she must have entered by the side door and hurried straight up to her room. There she changed (the fawn coat and skirt she wore to the bridge party were hanging up in the cupboard) and was evidently preparing to go out again, when the blow fell. Quite possibly, they say, she never even knew who struck her. The sandbag, I understand, is a very efficient weapon. That looks as though the attackers were concealed in the room, possibly in one of the big wardrobe cupboards—the one she didn’t open."|"Miss Marple"|"Agatha Christie"
